epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61513,3.94173,6.03983,4.46381,0,0,0,0,4.04092,5.17739,4.15914,2e-05,2e-05,2e-05
2,17.2675,3.99971,5.56921,4.54197,0,0,0,0,4.04116,5.17804,4.15936,5.703e-05,5.703e-05,5.703e-05
3,26.1159,4.44782,5.58611,4.55228,0,0,0,0,4.0414,5.17896,4.15954,9.01e-05,9.01e-05,9.01e-05
4,34.866,3.66371,5.35351,4.49422,0,0,0,0,4.04169,5.17973,4.1597,0.00011921,0.00011921,0.00011921
5,43.8003,4.78055,5.14116,4.26891,0,0,0,0,4.04204,5.18083,4.15986,0.00014436,0.00014436,0.00014436
6,52.8548,3.80619,5.14239,4.35809,0,0,0,0,4.0425,5.18212,4.16006,0.00016555,0.00016555,0.00016555
7,62.2202,3.96592,5.02125,4.28164,0,0,0,0,4.04305,5.1834,4.16024,0.00018278,0.00018278,0.00018278
8,70.8051,4.19283,4.83525,4.31278,0,0,0,0,4.0438,5.18391,4.16053,0.00019605,0.00019605,0.00019605
9,79.716,3.80189,4.30488,4.31794,0,0,0,0,4.04422,5.18359,4.16069,0.00020536,0.00020536,0.00020536
10,88.9527,4.20698,4.46499,4.25679,0,0,0,0,4.04508,5.18427,4.1611,0.00021071,0.00021071,0.00021071
11,97.5017,3.8342,4.9819,4.40746,0,0,0,0,4.04596,5.18441,4.16159,0.0002121,0.0002121,0.0002121
12,106.158,3.79418,4.70138,4.46951,0,0,0,0,4.04688,5.18367,4.16217,0.00020953,0.00020953,0.00020953
13,114.826,3.59969,5.08519,4.53198,0,0,0,0,4.04776,5.18259,4.16279,0.000203,0.000203,0.000203
14,123.17,3.47246,4.78308,4.43516,0,0,0,0,4.04876,5.18111,4.16348,0.00019251,0.00019251,0.00019251
15,132.159,3.33488,4.27412,4.27125,0,0,0,0,4.04963,5.17969,4.16423,0.00017806,0.00017806,0.00017806
16,141.535,3.44928,4.45321,4.29901,0,0,0,0,4.05038,5.17753,4.16506,0.00015965,0.00015965,0.00015965
17,150.309,3.35435,4.8472,4.31015,0,0,0,0,4.0512,5.17592,4.16599,0.00013728,0.00013728,0.00013728
18,158.603,3.53824,4.58653,4.11587,0,0,0,0,4.05198,5.17414,4.1669,0.00011095,0.00011095,0.00011095
19,166.857,3.82089,4.34548,4.15102,0,0,0,0,4.05264,5.17256,4.16769,8.066e-05,8.066e-05,8.066e-05
20,175.309,3.61281,4.16976,4.12527,0,0,0,0,4.05318,5.17114,4.16837,4.641e-05,4.641e-05,4.641e-05
