epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.745,3.19965,3.9168,4.28482,0.00305,0.43722,0.00572,0.00143,3.25599,4.16114,4.15864,0.0004,0.0004,0.0004
2,197.134,3.0316,3.66027,4.03447,0.00272,0.38996,0.00756,0.00304,3.27822,4.09596,4.1863,0.00073882,0.00073882,0.00073882
3,288.426,2.89371,3.47335,3.79499,0.00267,0.38405,0.0115,0.00356,3.34384,3.9767,4.32283,0.00099448,0.00099448,0.00099448
4,380.359,2.7874,3.2685,3.56731,0.0044,0.25849,0.0067,0.00196,3.37942,3.97058,4.52047,0.00116698,0.00116698,0.00116698
5,475.666,2.66326,3.15793,3.40545,0.00379,0.54357,0.01508,0.00366,3.21045,3.8314,4.33926,0.001208,0.001208,0.001208
