epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1086,3.79237,4.39063,4.26502,0.00144,0.2674,0.00311,0.0008,3.50889,4.64917,4.1589,0.0002,0.0002,0.0002
2,109.319,3.7291,4.0272,4.15109,0.00146,0.27106,0.00372,0.00113,3.50559,4.65036,4.15694,0.000411684,0.000411684,0.000411684
3,176.013,3.4121,3.91258,4.09484,0.00152,0.28205,0.00554,0.00278,3.49863,4.61894,4.15118,0.000614656,0.000614656,0.000614656
4,245.981,3.31196,3.5245,4.00706,0.0015,0.27839,0.00728,0.00519,3.48503,4.5898,4.14016,0.000808916,0.000808916,0.000808916
5,299.348,3.03784,3.37786,3.75176,0.0015,0.27839,0.00257,0.00073,3.4995,4.50407,4.14614,0.000994464,0.000994464,0.000994464
6,352.062,2.94407,3.35246,3.63949,0.00144,0.2674,0.00221,0.0007,3.52026,4.46097,4.16118,0.0011713,0.0011713,0.0011713
7,405.202,2.90054,3.19431,3.4542,0.00148,0.27473,0.00254,0.00075,3.53666,4.44226,4.1897,0.00133942,0.00133942,0.00133942
8,458.007,2.81147,3.19165,3.46271,0.00139,0.24542,0.00978,0.00163,3.5996,4.44762,4.25221,0.00149884,0.00149884,0.00149884
9,510.794,2.68651,3.04598,3.29879,0.00171,0.25641,0.00389,0.00096,3.58661,4.36445,4.25575,0.00164954,0.00164954,0.00164954
10,563.686,2.66249,2.83037,3.16177,0.00658,0.00733,0.00602,0.00133,3.19952,5.0029,3.80276,0.0016436,0.0016436,0.0016436
11,616.821,2.73508,2.85085,3.17176,0.05655,0.04762,0.02207,0.00537,2.47466,4.38764,3.47152,0.001604,0.001604,0.001604
12,669.825,2.62314,2.65507,3.02343,0.15079,0.08059,0.02799,0.00763,2.40855,3.98256,3.37293,0.0015644,0.0015644,0.0015644
13,723.528,2.51829,2.55177,2.94341,0.10989,0.15018,0.0522,0.01467,2.34855,3.49294,3.36092,0.0015248,0.0015248,0.0015248
14,776.841,2.56164,2.62068,3.03393,0.52511,0.23443,0.27045,0.08957,2.37842,3.08156,3.06519,0.0014852,0.0014852,0.0014852
15,830.298,2.51754,2.52977,2.95594,0.41248,0.24176,0.27503,0.09772,2.23581,2.93499,2.90712,0.0014456,0.0014456,0.0014456
16,882.879,2.41166,2.46015,2.92999,0.48093,0.44461,0.39145,0.14758,2.17758,2.41583,2.92949,0.001406,0.001406,0.001406
17,936.506,2.43348,2.45994,2.91117,0.38382,0.42125,0.34372,0.14823,2.10958,3.6568,2.8265,0.0013664,0.0013664,0.0013664
18,991.507,2.35905,2.29391,2.83277,0.62955,0.22711,0.24113,0.10092,2.2164,10.7914,2.93753,0.0013268,0.0013268,0.0013268
19,1046.32,2.37367,2.31981,2.80969,0.01393,0.11355,0.00918,0.0026,2.48094,9.25606,3.04794,0.0012872,0.0012872,0.0012872
20,1100.63,2.39012,2.28296,2.79821,0.55737,0.41974,0.44036,0.22187,2.05427,2.04958,2.77188,0.0012476,0.0012476,0.0012476
