epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.71963,3.98976,5.66111,4.5091,0,0,0,0,3.61887,4.95845,4.15897,2e-05,2e-05,2e-05
2,16.9502,4.01465,5.67092,4.52298,0,0,0,0,3.61905,4.95879,4.15902,5.703e-05,5.703e-05,5.703e-05
3,24.9592,4.06805,5.47534,4.54275,0,0,0,0,3.61922,4.95947,4.15905,9.01e-05,9.01e-05,9.01e-05
4,33.039,3.83073,4.84043,4.39339,0,0,0,0,3.61941,4.96004,4.15904,0.00011921,0.00011921,0.00011921
5,40.9742,3.75362,4.83488,4.47926,0,0,0,0,3.61964,4.96101,4.15901,0.00014436,0.00014436,0.00014436
6,48.9249,3.87377,4.79744,4.37817,0,0,0,0,3.61995,4.96199,4.159,0.00016555,0.00016555,0.00016555
7,56.7381,3.83509,4.40621,4.24628,0,0,0,0,3.62039,4.96253,4.15905,0.00018278,0.00018278,0.00018278
8,64.5155,3.83411,4.45071,4.41594,0,0,0,0,3.62101,4.96207,4.15921,0.00019605,0.00019605,0.00019605
9,72.2147,4.00083,4.23847,4.20751,0,0,0,0,3.62137,4.96132,4.15936,0.00020536,0.00020536,0.00020536
10,79.9494,3.27517,4.45792,4.35409,0,0,0,0,3.62214,4.96078,4.15966,0.00021071,0.00021071,0.00021071
11,87.7492,3.49928,4.52853,4.28947,0,0,0,0,3.62294,4.95911,4.15998,0.0002121,0.0002121,0.0002121
12,95.4704,3.41763,4.50889,4.27742,0,0,0,0,3.62379,4.95678,4.16038,0.00020953,0.00020953,0.00020953
13,103.21,3.31069,4.53027,4.39135,0,0,0,0,3.62471,4.95344,4.16091,0.000203,0.000203,0.000203
14,111.044,3.23674,4.37314,4.21064,0,0,0,0,3.62561,4.94935,4.16147,0.00019251,0.00019251,0.00019251
15,119.631,3.32248,4.51653,4.27843,0,0,0,0,3.62653,4.94533,4.16213,0.00017806,0.00017806,0.00017806
16,127.655,3.08266,3.96709,4.16983,0,0,0,0,3.62747,4.94142,4.16286,0.00015965,0.00015965,0.00015965
17,135.709,3.2185,4.32895,4.3529,0,0,0,0,3.62831,4.93875,4.1636,0.00013728,0.00013728,0.00013728
18,143.642,3.38984,4.14453,4.24161,0,0,0,0,3.62914,4.93557,4.16435,0.00011095,0.00011095,0.00011095
19,152.177,3.41215,4.40621,4.08962,0,0,0,0,3.63011,4.93301,4.16515,8.066e-05,8.066e-05,8.066e-05
20,159.984,3.52064,4.13205,4.06564,0,0,0,0,3.631,4.93134,4.16572,4.641e-05,4.641e-05,4.641e-05
