epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4557,4.31788,4.6977,4.28654,0.00033,0.07207,0.00018,3e-05,3.31404,4.8074,4.15853,0.0001,0.0001,0.0001
2,49.6497,3.96951,4.73928,4.19648,0.00037,0.08108,0.0002,3e-05,3.31354,4.80797,4.15774,0.00020911,0.00020911,0.00020911
3,78.5401,3.82472,4.22822,4.15698,0.00041,0.09009,0.00024,4e-05,3.31268,4.80414,4.15671,0.00030634,0.00030634,0.00030634
4,130.462,3.46096,4.54921,4.12404,0.00045,0.0991,0.00028,4e-05,3.31269,4.79606,4.15608,0.00039169,0.00039169,0.00039169
5,182.779,3.51689,3.76696,4.05425,0.00045,0.0991,0.00026,4e-05,3.31587,4.78205,4.15609,0.00046516,0.00046516,0.00046516
6,235.286,3.52002,4.0355,4.06058,0.00053,0.11712,0.00031,4e-05,3.31982,4.756,4.15658,0.00052675,0.00052675,0.00052675
7,289.889,2.70381,4.28929,3.20561,0.00045,0.0991,0.00025,4e-05,3.33367,4.69248,4.16241,0.00057646,0.00057646,0.00057646
8,343.547,3.06254,3.73686,3.77967,0.00058,0.12613,0.00034,5e-05,3.34308,4.6369,4.16515,0.00061429,0.00061429,0.00061429
9,396.125,2.58568,3.93787,3.09918,0.00041,0.09009,0.00023,3e-05,3.34558,4.56266,4.16752,0.00064024,0.00064024,0.00064024
10,448.246,3.11051,3.35863,3.64634,8e-05,0.01802,4e-05,0,3.35705,4.5,4.18931,0.00065431,0.00065431,0.00065431
11,500.627,2.62736,3.37399,3.61716,0.00012,0.02703,6e-05,1e-05,3.37158,4.4173,4.21584,0.0006565,0.0006565,0.0006565
12,556.044,2.6014,3.40438,3.54594,9e-05,0.00901,5e-05,1e-05,3.38011,4.41804,4.23558,0.00064681,0.00064681,0.00064681
13,610.872,2.41444,3.56826,3.42597,9e-05,0.00901,5e-05,1e-05,3.38528,4.42667,4.25373,0.00062524,0.00062524,0.00062524
14,662.149,2.48695,3.18383,3.35224,0.0001,0.00901,5e-05,1e-05,3.38675,4.49659,4.26692,0.00059179,0.00059179,0.00059179
15,714.679,2.42685,3.35639,3.32275,0.0001,0.00901,5e-05,1e-05,3.38657,4.51322,4.27097,0.00054646,0.00054646,0.00054646
16,766.849,2.40714,3.06799,3.20197,0.0001,0.00901,5e-05,1e-05,3.38212,4.50305,4.27299,0.00048925,0.00048925,0.00048925
17,818.83,2.47353,3.16604,3.38691,0.0002,0.01802,0.0001,2e-05,3.37799,4.51719,4.26989,0.000416,0.000416,0.000416
18,868.504,2.29641,3.00775,3.14963,0.00019,0.01802,9e-05,2e-05,3.37448,4.56066,4.26459,0.000317,0.000317,0.000317
19,903.131,2.35988,3.01567,3.05053,0.00018,0.01802,9e-05,1e-05,3.37262,4.56268,4.26358,0.000218,0.000218,0.000218
20,941.892,2.34332,3.03378,3.0654,0.00018,0.01802,9e-05,1e-05,3.36702,4.55461,4.25826,0.000119,0.000119,0.000119
