epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6843,3.54222,3.42113,4.19369,0.00811,0.54478,0.02307,0.00623,3.45372,3.28481,4.15891,2e-05,2e-05,2e-05
2,20.5742,3.42982,3.35659,4.22749,0.00811,0.54478,0.04066,0.00953,3.45353,3.28401,4.15885,5.406e-05,5.406e-05,5.406e-05
3,30.1691,3.48219,3.38053,4.273,0.00789,0.52985,0.04243,0.00976,3.45314,3.28329,4.15866,8.02e-05,8.02e-05,8.02e-05
4,41.0674,3.51278,3.20246,4.17955,0.008,0.53731,0.02542,0.00739,3.4525,3.28267,4.15832,9.842e-05,9.842e-05,9.842e-05
5,50.5597,3.44404,3.38403,4.20736,0.00833,0.5597,0.02762,0.006,3.45161,3.28194,4.1578,0.00010872,0.00010872,0.00010872
6,59.8803,3.54249,3.26439,4.19467,0.00844,0.56716,0.02621,0.00803,3.45048,3.28127,4.15717,0.0001111,0.0001111,0.0001111
7,69.1413,3.42586,3.26233,4.19601,0.008,0.53731,0.01945,0.00533,3.44922,3.28027,4.15637,0.00010556,0.00010556,0.00010556
8,78.529,3.45351,3.19866,4.14525,0.00811,0.54478,0.02659,0.00803,3.44815,3.27894,4.15556,9.21e-05,9.21e-05,9.21e-05
9,87.5788,3.39385,3.10312,4.14775,0.00822,0.55224,0.02022,0.00586,3.44742,3.27862,4.15515,7.072e-05,7.072e-05,7.072e-05
10,96.6137,3.42839,3.18389,4.16415,0.00778,0.52239,0.02172,0.00623,3.44628,3.2777,4.15449,4.142e-05,4.142e-05,4.142e-05
