epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3124,3.79439,3.49877,4.22168,0.00811,0.54478,0.02497,0.00662,3.45371,3.28478,4.15891,2e-05,2e-05,2e-05
2,26.3712,3.48193,3.41591,4.21319,0.00767,0.51493,0.03222,0.00812,3.4534,3.28385,4.15878,5.8812e-05,5.8812e-05,5.8812e-05
3,36.9057,3.59276,3.38251,4.21799,0.00778,0.52239,0.03117,0.00782,3.45267,3.28259,4.15841,9.604e-05,9.604e-05,9.604e-05
4,47.2734,3.63611,3.42291,4.17204,0.00778,0.52239,0.02481,0.00857,3.45134,3.281,4.15768,0.000131684,0.000131684,0.000131684
5,57.479,3.61142,3.34127,4.19134,0.00822,0.55224,0.02617,0.0067,3.44959,3.27853,4.15658,0.000165744,0.000165744,0.000165744
6,67.8734,3.54085,3.28639,4.14795,0.00811,0.54478,0.0299,0.00859,3.44677,3.27564,4.15486,0.00019822,0.00019822,0.00019822
7,78.0788,3.56844,3.23406,4.14773,0.008,0.53731,0.0363,0.00969,3.44336,3.27129,4.15238,0.000229112,0.000229112,0.000229112
8,88.2868,3.33267,3.18375,4.14158,0.008,0.53731,0.02545,0.00719,3.43767,3.26651,4.14891,0.00025842,0.00025842,0.00025842
9,98.5584,3.35217,3.10193,4.09193,0.008,0.53731,0.02673,0.00762,3.43471,3.26419,4.14709,0.000286144,0.000286144,0.000286144
10,108.695,3.36472,3.04073,4.08086,0.008,0.53731,0.03698,0.01236,3.42959,3.26,4.14391,0.000312284,0.000312284,0.000312284
11,118.915,3.28363,3.03257,4.07119,0.00789,0.52985,0.03747,0.01059,3.42345,3.25449,4.13991,0.00033684,0.00033684,0.00033684
12,128.949,3.23187,2.96493,4.05521,0.008,0.53731,0.0324,0.00861,3.41662,3.2487,4.13543,0.000359812,0.000359812,0.000359812
13,139.172,3.26178,2.98062,4.04311,0.00811,0.54478,0.04681,0.01117,3.40911,3.24165,4.13039,0.0003812,0.0003812,0.0003812
14,149.427,3.14051,2.94516,4.00186,0.00789,0.52985,0.04275,0.01193,3.40185,3.23207,4.12457,0.000401004,0.000401004,0.000401004
15,159.744,3.32199,2.9003,3.97571,0.008,0.53731,0.0337,0.00989,3.39362,3.2235,4.11931,0.000419224,0.000419224,0.000419224
16,170.014,3.27046,2.834,3.91016,0.00811,0.54478,0.04142,0.01173,3.38734,3.21472,4.11469,0.00043586,0.00043586,0.00043586
17,180.215,3.08863,2.79731,3.91118,0.00856,0.57463,0.04088,0.0115,3.38379,3.20951,4.11256,0.000450912,0.000450912,0.000450912
18,190.298,3.25013,2.83178,3.93069,0.00856,0.57463,0.03864,0.01094,3.38385,3.2057,4.112,0.00046438,0.00046438,0.00046438
19,200.55,3.02563,2.72833,3.87029,0.00844,0.56716,0.03356,0.01037,3.3861,3.20346,4.11355,0.000476264,0.000476264,0.000476264
20,210.854,2.96762,2.75541,3.8021,0.00833,0.5597,0.0289,0.00913,3.38994,3.20142,4.11558,0.000486564,0.000486564,0.000486564
21,221.064,3.19981,2.77911,3.88053,0.00822,0.55224,0.03003,0.00904,3.3893,3.19913,4.11466,0.00049528,0.00049528,0.00049528
22,231.421,3.09348,2.78044,3.79016,0.00811,0.54478,0.03111,0.00908,3.38828,3.19523,4.11282,0.000502412,0.000502412,0.000502412
23,241.737,3.12259,2.68716,3.75497,0.00833,0.5597,0.03047,0.00943,3.38385,3.19185,4.10789,0.00050796,0.00050796,0.00050796
24,251.827,2.9853,2.79343,3.84443,0.00833,0.5597,0.02873,0.00945,3.38703,3.19359,4.10925,0.000511924,0.000511924,0.000511924
25,262.337,3.20939,2.69017,3.70042,0.00833,0.5597,0.03161,0.0094,3.38774,3.19348,4.1094,0.000514304,0.000514304,0.000514304
26,272.487,2.94227,2.73778,3.71174,0.00833,0.5597,0.03143,0.00955,3.39081,3.19758,4.1131,0.0005151,0.0005151,0.0005151
27,282.569,3.15454,2.66441,3.68643,0.00844,0.56716,0.03037,0.00899,3.40076,3.2014,4.11948,0.000514312,0.000514312,0.000514312
28,292.756,3.002,2.77803,3.68861,0.00844,0.56716,0.03037,0.00899,3.40076,3.2014,4.11948,0.00051194,0.00051194,0.00051194
29,302.981,2.91248,2.66187,3.67875,0.00856,0.57463,0.03042,0.00902,3.40367,3.20806,4.1204,0.000507984,0.000507984,0.000507984
30,313.233,3.0496,2.64672,3.63785,0.00856,0.57463,0.02827,0.00837,3.40501,3.21196,4.1231,0.000502444,0.000502444,0.000502444
