epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9278,3.52059,4.34922,4.24978,0.00128,0.08269,0.00098,0.00028,3.12135,4.03224,4.15726,0.0004287,0.0004287,0.0004287
2,34.089,3.36931,3.9056,4.00283,0.00167,0.06514,0.00118,0.00035,3.15685,4.2926,4.24135,0.000842924,0.000842924,0.000842924
3,50.3533,3.2002,3.65991,3.661,0.00161,0.08926,0.00131,0.00035,3.15213,4.52873,4.44184,0.00122791,0.00122791,0.00122791
4,66.8266,2.95324,3.3355,3.31826,0.01926,0.09486,0.0081,0.00211,2.83242,5.15691,3.76295,0.00128753,0.00128753,0.00128753
5,83.166,2.74571,3.20862,3.13147,0.67875,0.061,0.00902,0.00233,2.84999,19.6891,3.44463,0.00124037,0.00124037,0.00124037
6,99.8813,2.59112,3.03117,2.93924,0.17133,0.23495,0.0925,0.03287,2.4006,4.32952,2.99999,0.00119322,0.00119322,0.00119322
7,116.364,2.4961,2.92615,2.85826,0.10095,0.26881,0.04112,0.01341,2.36373,3.80364,2.9756,0.00114606,0.00114606,0.00114606
8,132.544,2.32486,2.78544,2.7357,0.303,0.21175,0.18467,0.06277,2.2499,2.71868,2.80587,0.0010989,0.0010989,0.0010989
9,148.532,2.28538,2.67687,2.70204,0.28366,0.24945,0.1544,0.05841,2.17854,2.58903,2.75857,0.00105174,0.00105174,0.00105174
10,164.615,2.20797,2.56388,2.57648,0.34847,0.27305,0.24172,0.08704,2.19121,2.66824,2.77244,0.00100459,0.00100459,0.00100459
11,180.746,2.10071,2.5292,2.51193,0.25141,0.33086,0.21442,0.09357,1.94385,2.41916,2.44997,0.00095743,0.00095743,0.00095743
12,198.139,2.05404,2.43092,2.44172,0.47642,0.37335,0.27848,0.13089,1.8817,2.47987,2.40076,0.000910273,0.000910273,0.000910273
13,214.184,1.98374,2.3513,2.38741,0.45312,0.3434,0.32539,0.15305,1.81722,2.27363,2.41018,0.000863116,0.000863116,0.000863116
14,230.198,1.94338,2.3053,2.36241,0.39801,0.46239,0.35618,0.16614,1.89434,2.08565,2.38877,0.000815959,0.000815959,0.000815959
15,246.184,1.89448,2.23667,2.32294,0.48809,0.43199,0.41756,0.2127,1.74025,2.04456,2.29408,0.000768802,0.000768802,0.000768802
16,262.246,1.88128,2.18033,2.29552,0.51311,0.51511,0.47065,0.25428,1.59136,1.88248,2.11198,0.000721645,0.000721645,0.000721645
17,278.166,1.78673,2.05837,2.19122,0.48143,0.47615,0.43227,0.21052,1.68264,2.04799,2.18024,0.000674488,0.000674488,0.000674488
18,294.082,1.79105,2.04578,2.20763,0.53448,0.46354,0.50616,0.27308,1.59252,1.75628,2.11662,0.000627331,0.000627331,0.000627331
19,310.031,1.72919,1.96707,2.16197,0.49642,0.61008,0.55464,0.31975,1.46809,1.64984,2.01988,0.000580174,0.000580174,0.000580174
20,326.115,1.71125,1.96544,2.1205,0.62509,0.57106,0.6196,0.36068,1.44363,1.67197,1.98685,0.000533017,0.000533017,0.000533017
21,341.46,1.55278,1.92043,2.01671,0.53232,0.55545,0.51649,0.28658,1.61066,2.01024,2.07248,0.00048586,0.00048586,0.00048586
22,356.941,1.57992,1.88141,2.03603,0.5855,0.65174,0.6599,0.41315,1.36973,1.54006,1.90059,0.000438703,0.000438703,0.000438703
23,372.447,1.52724,1.7697,2.00645,0.64759,0.57617,0.62464,0.37205,1.44587,1.63559,1.99132,0.000391546,0.000391546,0.000391546
24,387.94,1.52012,1.72869,2.00522,0.71332,0.55052,0.66488,0.41102,1.35557,1.48329,1.90346,0.000344389,0.000344389,0.000344389
25,403.422,1.43447,1.66475,1.9129,0.70735,0.68586,0.74111,0.45309,1.3585,1.36847,1.87624,0.000297232,0.000297232,0.000297232
26,421.39,1.43463,1.58696,1.91005,0.70416,0.68777,0.74926,0.49516,1.26182,1.31212,1.78046,0.000250075,0.000250075,0.000250075
27,441.219,1.42067,1.56366,1.88529,0.77091,0.69062,0.79265,0.51518,1.25746,1.26307,1.79192,0.000202918,0.000202918,0.000202918
28,458.85,1.43055,1.5615,1.91206,0.80268,0.70733,0.81449,0.53442,1.19322,1.2269,1.72559,0.000155761,0.000155761,0.000155761
29,474.398,1.37532,1.50951,1.85168,0.79916,0.71904,0.81011,0.55309,1.15948,1.19272,1.71445,0.000108604,0.000108604,0.000108604
30,489.925,1.38576,1.50247,1.8572,0.78475,0.73066,0.81246,0.55574,1.1485,1.18224,1.7044,6.1447e-05,6.1447e-05,6.1447e-05
