epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5737,4.77942,6.78658,4.54459,0,0,0,0,6.32628,6.10355,4.18205,0.00036,0.00036,0.00036
2,178.197,2.90493,3.13227,3.21418,0,0,0,0,6.36323,6.15514,4.26048,0.00071558,0.00071558,0.00071558
3,266.988,1.96798,1.90958,2.12845,0,0,0,0,6.41519,5.57932,4.37244,0.00104608,0.00104608,0.00104608
4,358.794,1.60815,1.47356,1.70798,0,0,0,0,6.43925,5.49392,4.43162,0.0013515,0.0013515,0.0013515
5,455.192,1.41709,1.25667,1.46932,0,0,0,0,6.45566,5.49531,4.47996,0.00163184,0.00163184,0.00163184
6,554.641,1.28117,1.10082,1.3439,0.84684,0.12181,0.20895,0.1106,3.46795,3.70014,2.63565,0.00167,0.00167,0.00167
7,659.621,1.19272,1.0038,1.26637,0.97849,0.98307,0.98997,0.65518,1.25478,1.07279,1.31659,0.001604,0.001604,0.001604
8,750.698,1.20096,0.93831,1.20286,0.98758,0.99018,0.99369,0.70311,1.08189,1.06301,1.23004,0.001538,0.001538,0.001538
9,836.655,1.14305,0.87701,1.1982,0.98638,0.99565,0.992,0.69373,1.13643,1.05436,1.20764,0.001472,0.001472,0.001472
10,922.381,1.1054,0.85682,1.16369,0.98153,0.99214,0.99378,0.72667,0.98248,0.91903,1.12741,0.001406,0.001406,0.001406
11,1009.46,1.079,0.82226,1.15366,0.9893,0.99214,0.99442,0.73546,0.94414,0.7558,1.10571,0.00134,0.00134,0.00134
12,1100.48,1.03579,0.74928,1.09688,0.99261,0.98821,0.99382,0.72432,0.96812,0.79108,1.09729,0.001274,0.001274,0.001274
13,1199.41,1.00942,0.71028,1.08995,0.98628,0.98896,0.99299,0.74004,0.99669,0.79853,1.10116,0.001208,0.001208,0.001208
14,1319.66,0.99075,0.68265,1.0725,0.99506,0.98428,0.99486,0.76624,0.94322,0.65935,1.06119,0.001142,0.001142,0.001142
15,1442.17,0.98062,0.67387,1.07358,0.99835,0.98428,0.9949,0.7524,0.97557,0.65788,1.0713,0.001076,0.001076,0.001076
16,1562.6,0.95724,0.64766,1.05505,1,0.9858,0.99486,0.80297,0.78596,0.56607,0.99094,0.00101,0.00101,0.00101
17,1681.3,0.93013,0.62757,1.03046,0.99603,0.98529,0.99471,0.78174,0.83835,0.65604,1.01323,0.000944,0.000944,0.000944
18,1772.06,0.90059,0.59781,1.02882,0.99581,0.98821,0.99486,0.80848,0.80814,0.54281,0.99713,0.000878,0.000878,0.000878
19,1872.58,0.97155,0.63129,1.03835,0.99549,0.98821,0.9949,0.79202,0.83372,0.55932,1.01134,0.000812,0.000812,0.000812
20,1994.31,0.93409,0.61179,1.02565,0.99919,0.98821,0.99486,0.78859,0.81836,0.56924,0.99632,0.000746,0.000746,0.000746
21,2099.76,0.87663,0.68889,1.03579,1,0.98547,0.99488,0.80091,0.7762,0.56749,0.97092,0.00068,0.00068,0.00068
22,2183.88,0.85714,0.6373,1.00552,0.99602,0.98436,0.99492,0.79664,0.79613,0.52784,0.97268,0.000614,0.000614,0.000614
23,2269.78,0.80167,0.58774,1.01187,0.99567,0.98821,0.99481,0.81002,0.76377,0.51637,0.9611,0.000548,0.000548,0.000548
24,2355.22,0.8031,0.57065,1.0106,0.99603,0.98475,0.99486,0.78361,0.8094,0.52334,0.98102,0.000482,0.000482,0.000482
25,2438.72,0.78911,0.55805,0.99302,0.99531,0.98821,0.99488,0.81842,0.76155,0.48495,0.96907,0.000416,0.000416,0.000416
26,2523.93,0.79868,0.53964,0.99561,0.99588,0.99214,0.99496,0.81525,0.73961,0.4568,0.95625,0.00035,0.00035,0.00035
27,2608.08,0.76107,0.52535,0.97513,0.99535,0.99214,0.99496,0.82058,0.72758,0.45246,0.94551,0.000284,0.000284,0.000284
28,2692.06,0.76444,0.51591,0.97314,0.99529,0.99214,0.99496,0.81969,0.73205,0.44448,0.94373,0.000218,0.000218,0.000218
29,2779.67,0.76541,0.50873,0.98377,0.9957,0.99214,0.99496,0.81369,0.73824,0.4468,0.94655,0.000152,0.000152,0.000152
30,2865.6,0.75247,0.49723,0.97501,0.99605,0.9899,0.99492,0.82476,0.71733,0.44109,0.94025,8.6e-05,8.6e-05,8.6e-05
